bill_number,title,domain_title_terms,broad_title_terms,committee_net,fetch_status,legislation_type,text_chars,text_terms,snippet
S30,An Act relative to protecting sensitive information from security breaches,data_security_breach,information,J33,ok,Bill,10038,personal_information:20;biometric:3;geolocation:5;genetic_privacy:2;security_breach:14,"provided, however, that such unauthorized acquisition or use compromises the security, confidentiality, or integrity of personal information maintained by a person or agency; and provided further, that a good faith but unauthorized acquisition of personal info"
S36,An Act establishing a Cybersecurity Control and Review Commission,cybersecurity,,J33,ok,Bill,4390,data_protection:1,"the senate that contains recommendations to ensure the sustainability of the commonwealth’s critical infrastructure and data protection cybersecurity standards and preparedness. (g) Annually, not later than December 31, the commission shall make a condens"
S560,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,tracking,,,ok,Bill,1088,,
S927,An Act to implement the recommendations of the special commission on facial recognition technology,facial_recognition,technology,,ok,Bill,11246,biometric:12;facial_recognition:37;surveillance:7,"n this section, the following words shall, unless the context clearly requires otherwise, have the following meanings: “Biometric surveillance technology”, any computer software that performs facial recognition or other remote biometric recognition."
S938,An Act to protect the privacy of crime victims,privacy,,,ok,Bill,1351,record_nondisclosure:2,"information received, obtained or maintained by the division in connection with any claim for crime victim compensation shall be confidential and privileged, and shall not be disclosed by the division or by anyone who receives such records or information from t"
S961,An Act strengthening identity theft laws,identity_theft,,,ok,Bill,826,,
S971,An Act relative to the malicious doxing of personal information,personal_information,information,,ok,Bill,5793,personal_information:9,"nt”, conduct constituting the crime of criminal harassment pursuant to section 43A of chapter 265 of the General Laws. “Personal information”, information that: (i) identifies, relates to or is reasonably capable of being associated with a specific individual"
,An Act relative to access to a decedent's electronic mail accounts,,electronic,,docket_only_no_text,,,,
,An Act to promote housing data reporting,,data,,docket_only_no_text,,,,
,An Act expanding opportunities for individuals in the criminal offender record information system,,information,,docket_only_no_text,,,,
,An Act regarding death certificates online,,online,,docket_only_no_text,,,,
,An Act regarding death certificates online,,online,,docket_only_no_text,,,,
,An Act supporting the dissemination of public information on Long COVID,,information,,docket_only_no_text,,,,
,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the fourth quarter of the calendar year 2022,,data,,docket_only_no_text,,,,
,"A communication from the Office of the Norfolk County Registry of Deeds (see Section 2KKK of Chapter 29 of the General Laws) submitting the County Registers Technology Fund fifty-first planned expenditure [copies of the communication were forwarded to the committees on Ways and Means and Post Audit and Oversight, as required by said law]",,technology,,docket_only_no_text,,,,
,A communication from the Massachusetts District Attorneys Association (see item 0340-2100 of Chapter 126 of the Acts of 2022) submitting its data from the District Attorneys relative to their criminal prosecutions and workloads for calendar year 2022,,data,,docket_only_no_text,,,,
,EOLWD Online Delivery System for UI Benefits 6th Report,,online,,docket_only_no_text,,,,
,A communication from the Massachusetts Technology Transfer Center (Mass Ventures) (see Section 45B of Chapter 75 of the General Laws) submitting the Acorn Innovation Fund Report for fiscal year 2023,,technology,,docket_only_no_text,,,,
,"A communication from the Lowell Regional Transit Authority (under Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year 2022",,information,,docket_only_no_text,,,,
,The sixth quarterly report of the Executive Office of Labor and Workforce Development (under item 1790-3009 of Section 2 of Chapter 151 of the Acts of 2020) regarding the comprehensive modernization and transformation for the deployment of an online delivery system for unemployment insurance compensation benefits,,online,,docket_only_no_text,,,,
,"A statement of available resources and expenditures - statutory basis - and additional information regarding the joint accounts of the General Court for the Fiscal Year ended June 30, 2019",,information,,docket_only_no_text,,,,
,DCJIS FY22 Criminal Offender Record Information Annual Report,,information,,docket_only_no_text,,,,
,"A communication from the Greater Attleboro-Taunton Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year 2022",,information,,docket_only_no_text,,,,
,"A communication from the Montachusett Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting financial statements, supplementary information, and a schedule of expenditures of federal awards and OMB uniform guidance auditors’ reports for fiscal year 2022",,information,,docket_only_no_text,,,,
,Annual report of the Department of Criminal Justice Information Services (under Section 168 of Chapter 6 of the General Laws) summarizing the status of the complaints reviewed by the Criminal Record Review Board,,information,,docket_only_no_text,,,,
,Annual report of the Department of Criminal Justice Information Services (under Section 168 of Chapter 6 of the General Laws) submitting the Commissioner Approved Access to Criminal Offender Record Information (CORI),,information,,docket_only_no_text,,,,
,A report of the Massachusetts District Attorneys Association (under item 0340-2100 of Chapter 24 of the Acts of 2021) submitting the amended and final Disabled Persons Protection Commission data for fiscal year 2022,,data,,docket_only_no_text,,,,
,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 40 of Chapter 126 of the General Laws) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the first quarter of the calendar year 2023,,data,,docket_only_no_text,,,,
,"A communication from the State Retiree Benefits Trust (“HST”) Board (see Section 24(f) of Chapter 32A of the General Laws) submitting the approved budget for said board for fiscal year 2024 [a copy of the communication was forwarded to the committee on Public Service, for their information]",,information,,docket_only_no_text,,,,
,A communication from the Executive Office of Health and Human Services (see Section 15 of Chapter 118I of the General Laws) submitting the annual report of the Health Information Technology Council for the calendar year 2022,,information;technology,,docket_only_no_text,,,,
,A report of the MetroWest Regional Transit Authority (under Section 8(g) of Chapter 161B of the General Laws) submitting financial statements and supplementary information for fiscal year 2022,,information,,docket_only_no_text,,,,
,The annual report of the Executive Office of Technology Services and Security (under Section 13 of Chapter 69 of the Acts of 2018) on data collection and reporting in the criminal justice system,,data;technology,,docket_only_no_text,,,,
,JRPOB FY23 Criminal Justice System Data Report,,data,,docket_only_no_text,,,,
,DPH 2020 Birth Data Annual Report,,data,,docket_only_no_text,,,,
,A quarterly report of the Sheriff’s Department of Plymouth County (under Section 84 of Chapter 69 of the Acts of 2018) submitting the aggregate data on the population of the Plymouth County Correctional Facility for the second quarter of calendar year 2023,,data,,docket_only_no_text,,,,
,A communication from the Department of Transitional Assistance (see Section 2 of Chapter 18 of the General Laws) submitting a report entitled: Electronic Benefit Transfer (EBT) Photo Requirements Exemptions,,electronic,,docket_only_no_text,,,,
,Plymouth County Sheriff 2023 Q2 Population Data Report,,data,,docket_only_no_text,,,,
,EOLWD Online Delivery System for UI Benefits 7th Report,,online,,docket_only_no_text,,,,
,A quarterly report of the Executive Office of Labor and Workforce Development (under item 1790-3009 of Section 2 of Chapter 151 of the Acts of 2020) submitting its seventh quarterly report relative to the comprehensive modernization and transformation for the deployment of an online delivery system for unemployment insurance compensation benefits,,online,,docket_only_no_text,,,,
,DPH 2021 Birth Data Annual Report,,data,,docket_only_no_text,,,,
